tm,ZP,CMD,XJ,ML,SP,GC,MT,DX,LY,MTG,HNC,HJ,LCK,LS,OBS
2026/1/1 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2026/1/1 1:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2026/1/1 2:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2026/1/1 3:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2026/1/1 4:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2026/1/1 5:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2026/1/1 6:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2026/1/1 7:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2026/1/1 8:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2026/1/1 9:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2026/1/1 10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2026/1/1 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2026/1/1 12:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.992991
2026/1/1 13:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.994076
2026/1/1 14:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.002312
2026/1/1 15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.016833
2026/1/1 16:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.036846
2026/1/1 17:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.061628
2026/1/1 18:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.090515
2026/1/1 19:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.122902
2026/1/1 20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.158239
2026/1/1 21:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.196023
2026/1/1 22:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.235799
2026/1/1 23:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.277151
2026/1/2 0:00,0.288286,0,0,0,0,0,0,0,0,0,0,0,0,0,2.319706
2026/1/2 1:00,0.252778,0,0.066667,0.122222,0.033333,0.072222,0.05,0.033333,0.166667,0,0.1,0.133333,0,0.133333,2.363124
2026/1/2 2:00,0.193336,0,0.223739,0.466667,0,0,0,0,0.077778,0,0,0,0,0,2.407099
2026/1/2 3:00,0,0,0,0,0,0,0.066667,0,0,0,0,0,0,0.5,2.451357
2026/1/2 4:00,0,0,0,0,0,0,0,0,0,0,0.04415,0.033333,0,0,2.495649
2026/1/2 5:00,0,0.044445,0,0,0.533333,0,0.033333,0,0,0.233333,1.539265,0.15,1.166667,0,2.539755
2026/1/2 6:00,1.044659,0,0,0,0,0,0,0,0,0,0,0,0,0,2.583478
2026/1/2 7:00,0,3.537455,0.280048,0.338573,0,0,0,0,0.088436,0,0,0,0,0,2.626641
2026/1/2 8:00,0,0,6.894725,0,0,0,0,0,0,0,0,0,0,0,2.669091
2026/1/2 9:00,0.990315,0,0,0,0,0,1.615271,0,0,3.335662,0.970527,0.216867,0,0,2.710689
2026/1/2 10:00,0,9.876642,0,0,0,0,0,0,0,0,0,4.389619,0,0,2.751318
2026/1/2 11:00,0,0,0,1.2,0,0,0,3.838648,0,0,0,0,0,0,2.790871
2026/1/2 12:00,0,2.800002,0,0,0,0,0,0,0,0,0,0,0,0,2.999849
2026/1/2 13:00,0,0,0,0,0,0,0,0,0,0,0,2.4,0,0,3.655799
2026/1/2 14:00,0,0,0,0,0,0,0,5.200002,0,0,0,1.600002,2.4,0,4.387076
2026/1/2 15:00,0,0,0,0,0,0,0,7.999998,0,0,0,0,9.3,0,4.414363
2026/1/2 16:00,0,1.600002,0,2.4,0,0,0,1.2,0,0,0,0,0,0,4.421969
2026/1/2 17:00,1.11864,1.52364,0,0,0,2.774226,2.386432,8.054206,2.326771,0,3.132191,0.894912,0.447456,1.864399,5.965404
2026/1/2 18:00,5.119705,5.688561,0,2.84428,0,0,0,0,0,0,0,0,1.137712,3.697565,6.403233
2026/1/2 19:00,0,0,0,0,0,0,0,0,0,12.99331,0,0,0,0,8.616481
2026/1/2 20:00,0,0,0,0,0,0,0,0,0,0,0,5.687605,0,0,13.27642
2026/1/2 21:00,0,0,0,6.113631,0,0,0,0.11481,0,0,0,0,0,0,17.19791
2026/1/2 22:00,0,1.659923,0.345818,0,0,0,0.622471,0.518726,0,0,1.244942,0,0.622471,0,24.90578
2026/1/2 23:00,0,0,0,0,0,0,0,0,0,0.147497,2.692178,0,1.589885,0,26.63331
2026/1/3 0:00,0,0,0,0,0,3.782179,0,0,0,0,0,0,0,0,27.20772
2026/1/3 1:00,0.651899,0,0,0,0,0,3.178011,0,0,0,0,0,0,0,27.62258
2026/1/3 2:00,0,1.441716,0,0,0,0,1.203005,0.185078,0,0,0.962404,1.172553,0,0.210176,30.62738
2026/1/3 3:00,0,0,0,0,0,0,0,5.4,0,0,0,0,0,0,37.43701
2026/1/3 4:00,0,0,4.840963,0,0,0,0,1.455188,0,0,0,0,0,0,40.20722
