tm,BSD,BS,DQG,DW,HY,HX,MW,MZ,ZYG,OBS
2026/1/1 0:00,0,0,0,0,0,0,0,0,0,5
2026/1/1 1:00,0,0,0,0,0,0,0,0,0,5
2026/1/1 2:00,0,0,0,0,0,0,0,0,0,5
2026/1/1 3:00,0,0,0,0,0,0,0,0,0,5
2026/1/1 4:00,0,0,0,0,0,0,0,0,0,5
2026/1/1 5:00,0,0,0,0,0,0,0,0,0,5
2026/1/1 6:00,0,0,0,0,0,0,0,0,0,5
2026/1/1 7:00,0,0,0,0,0,0,0,0,0,5
2026/1/1 8:00,0,0,0,0,0,0,0,0,0,5
2026/1/1 9:00,0,0,0,0,0,0,0,0,0,5
2026/1/1 10:00,0,0,0,0,0,0,0,0,0,5
2026/1/1 11:00,0,0,0,0,0,0,0,0,0,5
2026/1/1 12:00,0,0,0,0,0,0,0,0,0,4.955438473
2026/1/1 13:00,0,0,0,0,0,0,0,0,0,4.917963931
2026/1/1 14:00,0,0,0,0,0,0,0,0,0,4.886682896
2026/1/1 15:00,0,0,0,0,0,0,0,0,0,4.860784348
2026/1/1 16:00,0,0,0,0,0,0,0,0,0,4.839533111
2026/1/1 17:00,0,0,0,0,0,0,0,0,0,4.822263748
2026/1/1 18:00,0,0,0,0,0,0,0,0,0,4.808374896
2026/1/1 19:00,0,0,0,0,0,0,0,0,0,4.797324034
2026/1/1 20:00,0,0,0,0,0,0,0,0,0,4.788622641
2026/1/1 21:00,0,0,0,0,0,0,0,0,0,4.781831726
2026/1/1 22:00,0,0,0,0,0,0,0,0,0,4.776557683
2026/1/1 23:00,0,0,0,0,0,0,0,0,0,4.772448479
2026/1/2 0:00,0,0.133333333,0,0.033333333,0.033333333,0.033333333,0,0,0,4.769190117
2026/1/2 1:00,0,0,0.566666667,0,0.546208762,0,0.333877485,0,0,4.766503383
2026/1/2 2:00,0,0,0,0,0,0,0,0,0,4.764140834
2026/1/2 3:00,0,0,0,0,0,0,0,0,0,4.761884029
2026/1/2 4:00,0,0,0,0,0,0,0,0,0,4.759540963
2026/1/2 5:00,0.6,0.194444445,0,0,0,0.033333333,0,0.066666667,0.566666667,4.756943717
2026/1/2 6:00,0,0,0,0,0,0,0.255555556,0,0,4.753946276
2026/1/2 7:00,0,0,0,0,0,0,0,0,0,4.750422538
2026/1/2 8:00,0,0,0,0,0,0,0,0,0,4.746264461
2026/1/2 9:00,0,0,0,0,0,0,0,0.066666667,0,4.741380377
2026/1/2 10:00,0.2,0,0,0.188888889,0,0,0.4,0,0.617012716,4.735693428
2026/1/2 11:00,0,0,0,0,0,0,0,0,1.2,4.729140138
2026/1/2 12:00,1.2,0,0,0,0,6.199999998,1.2,0,0,4.883243337
2026/1/2 13:00,0,0,15.75378463,0,0,0,0,0,0,5.759513293
2026/1/2 14:00,1.635946578,15.70508717,6.085721277,0,0,0,6.134799674,0,0,5.697724043
2026/1/2 15:00,0,0,0,0,6.415477322,0,0,0,15.02340465,5.637553872
2026/1/2 16:00,0,0,0,0,0,0,6,2.4,0,5.578856137
2026/1/2 17:00,0,0,1.795400821,0,0,0,0,0,0,6.245986379
2026/1/2 18:00,0,0,0,0,0.433333333,0,0,0.466666667,0,6.284245707
2026/1/2 19:00,0,0.130657736,0,0,0.270025987,0,0,0,0,6.188972772
